role,filename,path,eccentricity,delta_ecc,elongation_ratio,trailing_angle_deg,angle_consistency,center_ecc,edge_ecc,ecc_field_delta,star_count,sky_adu,sky_rms,sky_gradient,snr,trail_count,verdict,filter,exptime,gain,ccd_temp,error
target,Panel 3_2026-06-22_23-27-28_OIII_5.00_300.00s_0005.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 3\OIII\2026-06-22\LIGHT\Panel 3_2026-06-22_23-27-28_OIII_5.00_300.00s_0005.fits,0.5393072900646161,,0.8421090426838664,52.80027064762303,0.9783440523318101,0.5522968602627905,0.5367229266702231,-0.015573933592567313,200,4732.0,87.04042033628345,0.019449463936559507,83.72686909893076,0,REJECT,OIII,300.0,100,5.0,
target,Panel 3_2026-06-22_23-32-30_OIII_5.00_300.00s_0006.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 3\OIII\2026-06-22\LIGHT\Panel 3_2026-06-22_23-32-30_OIII_5.00_300.00s_0006.fits,0.4858250813732627,,0.8740560557615534,79.07019118075024,0.9732257731663645,0.48985412793011396,0.4820190603451091,-0.007835067585004851,200,4700.0,86.26840814527706,0.01958713614953201,87.63471155287174,0,REJECT,OIII,300.0,100,5.0,
target,Panel 3_2026-06-22_23-37-50_OIII_4.90_300.00s_0007.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 3\OIII\2026-06-22\LIGHT\Panel 3_2026-06-22_23-37-50_OIII_4.90_300.00s_0007.fits,0.2879673458025239,,0.9576402278094382,96.98470406430692,0.651405255601502,0.29918786790405827,0.2850607655539029,-0.014127102350155352,200,4657.1911498289555,85.40374059758648,0.018903988594346346,116.76861725816812,0,MARGINAL,OIII,300.0,100,4.9,
target,Panel 3_2026-06-22_23-42-51_OIII_5.00_300.00s_0008.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 3\OIII\2026-06-22\LIGHT\Panel 3_2026-06-22_23-42-51_OIII_5.00_300.00s_0008.fits,0.35984412229058105,,0.9330124321614014,46.14924310551763,0.8832156422692505,0.37221254063879355,0.3546037843365668,-0.017608756302226747,200,4604.0,84.13929806421753,0.0191231733236273,103.0310588745424,0,MARGINAL,OIII,300.0,100,5.0,
target,Panel 3_2026-06-22_23-47-58_OIII_4.90_300.00s_0009.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 3\OIII\2026-06-22\LIGHT\Panel 3_2026-06-22_23-47-58_OIII_4.90_300.00s_0009.fits,0.35430486193660854,,0.9351296466585246,19.88722302595237,0.8863006742951719,0.36163410857827655,0.3521597685069915,-0.009474340071285059,200,4556.961719021715,83.01483232585971,0.01844096336526806,106.92055757864807,0,MARGINAL,OIII,300.0,100,4.9,
target,Panel 4_2026-06-23_01-06-50_OIII_5.00_300.00s_0005.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 4\OIII\2026-06-22\LIGHT\Panel 4_2026-06-23_01-06-50_OIII_5.00_300.00s_0005.fits,0.47486158165268705,,0.8800604889197882,50.47585033128116,0.9256138860268499,0.4803224696715548,0.47399862680318305,-0.006323842868371732,200,4080.0,71.03458137607193,0.013233121856042898,140.2296621431135,0,REJECT,OIII,300.0,100,5.0,
target,Panel 4_2026-06-23_01-12-10_OIII_5.00_300.00s_0006.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 4\OIII\2026-06-22\LIGHT\Panel 4_2026-06-23_01-12-10_OIII_5.00_300.00s_0006.fits,0.6091488414780625,,0.7930559174564482,66.3380148062087,0.9736112513860987,0.6016595949051289,0.6121517653134253,0.01049217040829642,200,4068.0,70.70440085510295,0.012296967983724151,140.5196843574625,0,REJECT,OIII,300.0,100,5.0,
target,Panel 4_2026-06-23_01-17-11_OIII_5.00_300.00s_0007.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 4\OIII\2026-06-22\LIGHT\Panel 4_2026-06-23_01-17-11_OIII_5.00_300.00s_0007.fits,0.7351727601132361,,0.6778797560994881,62.61376714440489,0.9743388321889634,0.7476360697493758,0.734272510361186,-0.013363559388189783,200,4057.684463650846,70.34007678332253,0.012323405881974623,117.7464162641304,0,REJECT,OIII,300.0,100,5.0,
target,Panel 4_2026-06-23_01-22-13_OIII_5.00_300.00s_0008.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 4\OIII\2026-06-22\LIGHT\Panel 4_2026-06-23_01-22-13_OIII_5.00_300.00s_0008.fits,0.6001052223555076,,0.7999210711044322,62.1204360418699,0.9651468268483009,0.6149217996863829,0.5962284474405514,-0.018693352245831574,200,4041.2577416186605,69.94565665333933,0.012372220540411661,141.091171826414,0,REJECT,OIII,300.0,100,5.0,
target,Panel 4_2026-06-23_01-27-35_OIII_4.90_300.00s_0009.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 4\OIII\2026-06-22\LIGHT\Panel 4_2026-06-23_01-27-35_OIII_4.90_300.00s_0009.fits,0.7513800704334425,,0.6598696006271583,66.94317976380341,0.9833130188450058,0.7551503013876958,0.750529919564607,-0.0046203818230887705,200,4024.0,69.5310271092045,0.012425315797893736,99.95001187285057,0,REJECT,OIII,300.0,100,4.9,
target,Panel 5_2026-06-22_22-23-37_OIII_4.90_300.00s_0004.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 5\OIII\2026-06-22\LIGHT\Panel 5_2026-06-22_22-23-37_OIII_4.90_300.00s_0004.fits,0.35486538008378793,,0.9349169862186082,77.1300804971975,0.8417402489739918,0.36161545235146175,0.35399551764302717,-0.007619934708434584,200,5404.0,100.68094687208213,0.02630189121474753,66.43650390636762,0,MARGINAL,OIII,300.0,100,4.9,
target,Panel 5_2026-06-22_22-28-39_OIII_5.00_300.00s_0005.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 5\OIII\2026-06-22\LIGHT\Panel 5_2026-06-22_22-28-39_OIII_5.00_300.00s_0005.fits,0.3328772289459681,,0.9429701453132472,36.500170223871756,0.7673599724050709,0.32630981019503014,0.3335276685341346,0.007217858339104488,200,5332.0,99.38193765853154,0.02552361402724345,79.42114301002555,0,MARGINAL,OIII,300.0,100,5.0,
target,Panel 5_2026-06-22_22-33-40_OIII_4.90_300.00s_0006.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 5\OIII\2026-06-22\LIGHT\Panel 5_2026-06-22_22-33-40_OIII_4.90_300.00s_0006.fits,0.26246978851186864,,0.9649402089598917,177.71299710177126,0.3347492829620094,0.27797894213074426,0.2583174091106079,-0.019661533020136346,200,5264.0,98.07098828439165,0.02471756680018424,82.00776609833568,0,MARGINAL,OIII,300.0,100,4.9,
target,Panel 5_2026-06-22_22-39-01_OIII_4.90_300.00s_0007.fits,D:\AP\Cygnus Loop mosaic - OIII\Panel 5\OIII\2026-06-22\LIGHT\Panel 5_2026-06-22_22-39-01_OIII_4.90_300.00s_0007.fits,0.3499776299352054,,0.9367577423033306,177.83315501463363,0.8117754805320203,0.363378008288015,0.3492576171593399,-0.01412039112867508,200,5192.0,96.59407318380069,0.0239078849698494,94.21552329038718,0,MARGINAL,OIII,300.0,100,4.9,
